NAME, LIBRARY, VERSION, COMPILER, FLAGS, MODE, INPUT, INPUT-SIZE, FUNCTION, MEDIAN, MAD, RELATIVE, INTENSITY
ethSIFT avx gcc full rdtsc DOGPyramid, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, DOGPyramid, 1.4150603, -0.0030987263, 0.00000009839232, 3.6348531
ethSIFT avx gcc full rdtsc GradientAndRotationPyramids, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.6902008, -0.18250465, 0.0000002827281, 13.672094
ethSIFT avx gcc full rdtsc Histogram, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, Histogram, 0.872366, -0.0030969381, 0.00000006689257, 2.5614655
ethSIFT avx gcc full rdtsc ExtremaRefinement, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, ExtremaRefinement, 0.9456522, -0.029527128, 0.00000007251313, 1.0807453
ethSIFT avx gcc full rdtsc KeypointDetection, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, KeypointDetection, 0.17107302, -0.0025590956, 0.000000019055403, 1.0536155
ethSIFT avx gcc full rdtsc ExtractDescriptor, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, ExtractDescriptor, 0.71236616, -0.004688978, 0.059355367, 2.6122131
ethSIFT avx gcc full rdtsc MeasureFull, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, MeasureFull, 1.5125976, -0.077165365, 0.12603179, 3.9261184
ethSIFT avx gcc full rdtsc MeasureFullNoAlloc, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 25923224.0, 1186910.0, 2159960.0, 0.0
ethSIFT avx gcc notree rdtsc Downscale, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx gcc notree rdtsc Convolution, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, Convolution, 3.6553366, -0.0024898052, 0.00000013256671, 3.372131
